ticker,isin,nome,mercato,sedute,prima_seduta
TFIN.MI,IT0005709909,TREVI FIN IND,MTAA,6801,2000-01-03
TGYM.MI,IT0005162406,TECHNOGYM,MTAA,2615,2016-05-03
TIME.MI,IT0005453235,COMPAGNIA  CARAIBI,EXGM,1283,2021-08-03
TIP.MI,IT0003153621,TAMBURI,MTAA,5276,2005-11-09
TISG.MI,IT0005439085,THE ITALIAN SEA G,MTAA,1083,2022-05-12
TIT.MI,IT0005712671,TELECOM ITALIA,MTAA,6801,2000-01-03
TLM.MI,IT0005683401,TELMES,EXGM,165,2025-12-18
TLS.MI,IT0005240046,TELESIA,EXGM,2408,2017-02-20
TMP.MI,IT0005531238,TMP GROUP,EXGM,896,2023-02-02
TNX.MI,IT0005428898,TENAX INTERNAT,EXGM,1437,2020-12-18
TNXT.MI,IT0005037210,TINEXTA,MTAA,3055,2014-08-06
TPRO.MI,IT0005482333,TECHNOPROBE,MTAA,1143,2022-02-15
TPS.MI,IT0005246142,TPS,EXGM,2381,2017-03-28
TRAI.MI,IT0005651507,TRADELAB,EXGM,309,2025-05-29
TRN.MI,IT0003242622,TERNA,MTAA,5636,2004-06-23
TSL.MI,IT0005496473,TESSELLIS,MTAA,6803,2000-01-03
TWL.MI,IT0005717571,TRAWELL CO,EXGM,3283,2013-09-12
TXT.MI,IT0001454435,TXT E-SOLUTIONS,MTAA,6664,2000-07-12
TYA.MI,IT0000214293,TOSCANA AEROPORTI,MTAA,4837,2007-07-26
U24.MI,IT0005380461,UCAPITAL24,EXGM,1712,2019-11-21
UBA.MI,IT0005628158,UBALDI COSTRUZIONI,EXGM,410,2025-01-03
UCG.MI,IT0005239360,UNICREDIT,MTAA,6801,2000-01-03
UD.MI,IT0005573065,UNIDATA,MTAA,1631,2020-03-18
UNI.MI,IT0004810054,UNIPOL,MTAA,6803,2000-01-03
VARV.MI,IT0005568461,SBE-VARVIT,EXGM,697,2023-11-14
VIM.MI,IT0004717200,VIMI FASTENERS,EXGM,2040,2018-08-02
VLC.MI,IT0005562514,VALICA,EXGM,729,2023-09-29
VLS.MI,IT0001018362,VALSOIA,MTAA,5100,2006-07-14
VLT.MI,IT0005532525,VALTECNE,EXGM,875,2023-03-01
VNE.MI,IT0005556110,VNE,EXGM,771,2023-08-02
VNT.MI,IT0005433765,VANTEA SMART,EXGM,1415,2021-01-27
VNXT.MI,IT0005652414,VINEXT,EXGM,258,2025-08-08
VVG.MI,IT0005622581,VIVENDA GROUP,EXGM,428,2024-12-02
WBD.MI,IT0003865570,WEBUILD,MTAA,6803,2000-01-03
WBDR.MI,IT0003865588,WEBUILD RSP,MTAA,6021,2003-01-01
WBS.MI,IT0005384901,WEBSOLUTE,EXGM,1750,2019-09-30
WIIT.MI,IT0005440893,WIIT,MTAA,2336,2017-06-07
XHS.MI,IT0005568487,XENIA,EXGM,702,2023-11-06
YACHT.MI,IT0005383291,FERRETTI,MTAA,795,2023-06-27
YKY.MI,IT0005573966,YAKKYO,EXGM,653,2024-01-19
YOLO.MI,IT0005495871,YOLO GROUP,EXGM,1019,2022-08-11
YRM.MI,IT0001017851,ROSETTI MARINO,EXGM,3503,2012-10-23
ZEST.MI,IT0005013013,ZEST,MTAA,6803,2000-01-03
ZUC.MI,IT0005395071,ZUCCHI,MTAA,6801,2000-01-03
ZV.MI,IT0004171440,ZIGNAGO VETRO,MTAA,4876,2007-06-06
